doc_id,item,category,amount,price,discount,date
822e59ec,Скатерть,Текстиль,1,3599,0,2026-04-26
822e59ec,Веник,Хозтовары,2,4156,10,2026-04-26
822e59ec,Подушка,Текстиль,2,2990,50,2026-04-26
822e59ec,Мыло,Бытовая химия,1,123,0,2026-04-26
f8700846,Полотенце,Текстиль,1,3855,0,2026-04-26
f8700846,Нож,Посуда,3,1026,50,2026-04-26
f8700846,Губки для посуды,Хозтовары,3,4363,10,2026-04-26
f8700846,Диван,Мебель,2,3614,25,2026-04-26
d515eb0d,Шкаф,Мебель,3,1694,0,2026-04-26
d515eb0d,Стол,Мебель,1,2303,0,2026-04-26
fbc35f28,Веник,Хозтовары,2,672,0,2026-04-26
129eaa70,Кастрюля,Посуда,4,4869,0,2026-04-26
129eaa70,Полотенце,Текстиль,1,2809,5,2026-04-26
